"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3021","C3022","C3023","H4001","H4004","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4015","H4016","H4017","H4018","H4019","H4020","H4022","H4023","H4024","H4028","H4031","H4035","H4038","H4040","H4042","H4043","H4044","H4045","M2008","M2014","M2025","M2026","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2060","M2061","M2068","M2069","M2072","M2075","M2084","P6005","P6009","P6012","P6013","P6014","P6016","P6017","P6018","P6024","P6025","P6028"
"AC007679.3",0,2,0,0,0,1,0,0,3,0,3,7,0,5,0,3,2,5,0,0,4,0,8,3,1,0,3,0,2,0,14,6,1,4,1,0,3,0,8,0,6,0,0,0,3,3,7,4,4,1,1,2,5,0,1,2,4,1,0,4,0,1,1,2,0,0,0,3
"AC016735.2",426,0,0,73,148,442,6,613,2,8,3,5,16,0,9,4,0,1,1,0,3,0,1,10,0,2,2,0,2,0,23,2,1,2,2,0,0,2,0,5,0,0,30,0,0,4,3,0,1,1,0,0,1,8,0,1,1,1,0,195,2,6,0,1,2,3,6,7
"AC097467.2",40,1,0,4,117,10,159,17,14,82,0,1,0,13,48,6,5,1,55,0,8,0,4,36,1,472,8,2,9,0,4,5,405,4,0,193,0,68,0,43,0,15,54,2,0,6,0,1,2,0,0,0,2,27,0,0,1,3,81,14,127,1,9,1,1,39,145,7
"AC105402.3",5,18,0,0,0,0,5,1,14,4,22,8,1,23,0,10,4,4,0,0,17,0,8,0,22,1,8,37,5,0,2,17,1,59,29,0,8,1,26,0,70,10,0,26,18,70,37,53,4,30,31,12,19,0,27,37,46,30,2,2,0,6,10,49,20,15,1,24
"AFAP1-AS1",767,5,1049,177,463,94,7,57,10,20,14,2,32,3,5,7,1,2,2,1,3,0,5,8,1,15,2,6,8,8,5,2,0,2,0,11,7,4,2,13,0,6,29,5,7,2,0,2,3,1,5,4,2,25,0,1,4,1,12,35,21,125,0,3,2,16,47,11
"APOC3",9,10,18,6,4,33,21,35,20,17,78,38,15,17,16,14,28,11,10,11,22,22,162,20,18,11,14,14,23,18,33,8,9,23,11,3,6,3,4,3,9,16,14,9,7,7,8,12,2,7,9,3,8,2,23,8,90,8,10,749,7,15338,36,37,8,1044,41,219
"ART1",3,3,0,0,2,1,1,2,1,0,0,3,0,2,2,2,0,1,1,2,2,0,50,6,116,0,6,1,8,1,1,8,1,9,2,1,36,1,6,1,1,7,3,3,40,3,7,86,0,0,3,0,32,0,5,2,1,2,0,0,0,0,1,0,1,6,0,0
"CD300E",80,5,95,2,2155,31,491,9435,33,189,3,8,1409,3,61,8,4,15,89,3,51,0,12,160,4,96,7,14,23,10,18,7,100,5,6,306,7,80,14,240,17,36,914,7,26,14,3,15,3,4,8,1,15,1238,3,8,9,1,43,205,207,10,7,57,46,107,311,36
"CSF3",4,1,1,0,1173,0,422,4913,13,232,0,1,2068,6,37,4,0,1,12,3,4,0,4,119,1,77,4,3,6,1,4,2,21,1,3,69,1,6,0,202,0,4,1322,0,3,2,1,0,0,1,1,0,6,1473,0,1,2,1,32,49,93,2,8,0,1,47,73,1
"CXorf27",0,0,0,8,0,0,7,1,0,0,0,2,0,2,6,0,2,0,6,0,0,0,6,1,0,31,0,0,0,0,0,0,13,8,0,16,0,0,1,4,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,1,0,0,4,9,0,3,2,0,2,312,0
"DEFA5",10171,126,18391,628,46545,17177,457,1011,292,1035,206,184,148,435,1161,1588,205,269,17856,156,244,17,567,177,126,497,439,280,282,148,662,121,1186,236,68,71,606,2527,61,131,138,554,1987,127,135,99,90,130,18,47,93,101,107,79,132,176,1144,91,179,12079,505,134808,1225,528,209,23821,7004,5906
"DEFB129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0
"FAM43B",1,0,0,0,0,1,1,8,4,3,3,0,26,3,4,0,4,7,1,1,1,0,5,5,0,1,2,5,3,7,4,2,0,2,1,1,2,2,4,1,1,3,2,0,4,1,1,6,1,0,0,1,0,0,2,0,2,3,3,2,0,0,3,0,3,1,1,0
"ITLN2",925,11,2486,79,3122,1917,31,73,18,92,23,24,7,13,197,67,14,12,22556,14,28,1,38,46,15,34,27,19,17,11,23,5,340,16,4,95,12,340,8,60,11,35,140,27,10,7,11,8,5,8,10,5,6,16,10,12,54,13,214,344,233,6530,31,31,16,827,1000,447
"LCN15",25,115,8,10,12,8,29,19,107,31,25,221,0,90,93,17,26,467,8,973,30,4,413,135,485,13,142,43,24,14,223,785,4,121,138,42,233,2,51,25,37,36,9,48,350,40,197,163,210,76,99,37,148,19,109,130,51,40,2,34,5,20,19,76,15,24,3,97
"MMP1",480,97,1633,425,12778,2878,7250,150099,404,4210,71,635,272760,34,1961,53,1396,157,1801,188,153,28,87,4043,32,6106,29,251,181,175,51,50,772,60,58,5846,60,709,101,3804,468,240,50250,43,114,125,34,111,53,149,106,49,330,30015,116,133,89,57,3408,4486,1816,607,141,658,1076,1149,6882,219
"MMP13",3,0,0,0,58,3,33,2763,12,5,0,5,7884,1,6,0,1,1,4,0,3,0,0,19,0,28,4,1,6,5,0,0,7,7,1,24,0,4,1,16,2,10,115,0,0,0,0,4,4,2,1,2,3,83,1,1,0,0,2,40,10,7,7,5,4,12,34,2
"MT1HL1",1,0,0,1,1,0,1,0,5,1,17,2,2,5,5,2,7,2,0,3,8,0,10,5,2,0,5,2,1,1,3,6,0,7,1,2,5,0,1,0,0,2,1,1,2,1,3,4,1,7,3,1,3,0,1,1,6,7,0,1,1,4,2,3,5,2,0,0
"NMUR2",7,2,13,2,287,1,0,23,0,0,0,9,0,0,27,0,0,1,0,0,2,0,1,1,0,2,0,0,0,0,3,0,11,1,0,4,0,0,0,0,5,4,97,1,0,0,0,1,1,2,1,0,0,5,0,2,1,0,0,74,5,0,0,2,3,1,11,0
"NPSR1",60,0,468,55,273,736,8,67,14,26,6,5,4,10,3,15,5,0,4,1,8,0,7,16,0,3,2,0,1,0,4,3,6,0,1,0,3,16,1,1,4,3,6,0,1,0,0,3,0,1,1,0,3,0,0,0,1,21,4,173,0,0,1,1,0,0,3,3
"PLA2G2F",11,18,0,5,8,0,13,10,16,18,4,29,2,17,24,5,7,4,3,5,2,0,99,2,10,1,4,155,51,2,94,227,10,16,8,3,3,8,13,3,9,13,8,5,37,21,5,14,17,1,3,3,36,6,0,2,13,6,5,8,5,0,11,8,8,6,5,176
"REG1A",3402,186,2702,195,60059,4211,7372,4346,295,5097,209,158,2438,235,12283,821,163,151,10253,199,218,28,737,230,144,678,191,163,190,205,1369,137,3494,340,47,220,49,3862,50,16284,107,406,139990,137,137,174,147,203,15,90,129,67,98,11974,118,357,545,103,5746,7159,2432,51766,2309,293,203,15490,31754,5890
"REG1B",430,59,102,52,8248,714,1843,1034,107,324,35,30,306,90,584,198,68,60,2753,72,60,8,255,82,38,39,63,64,77,71,401,57,1090,164,14,27,11,326,15,2942,39,51,22443,35,42,69,32,56,4,21,36,25,30,1466,31,111,150,34,934,1790,267,4447,641,56,76,2004,7043,713
"RN7SL23P",2,1,0,1,0,0,0,3,2,4,1,5,5,0,4,3,0,0,0,2,2,0,2,1,3,2,2,2,2,3,3,7,0,5,0,3,6,1,3,0,7,7,0,2,0,4,0,3,3,2,1,0,1,0,5,0,1,0,0,3,0,3,3,0,7,2,1,1
"RP11-738O11.13",0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,4,9,3,2,4,7,0,5,8,3,0,2,9,2,11,0,7,0,3,3,1,3,0,5,0,0,3,1,4,1,3,1,2,4,0,6,3,1,0,2,3,4,4,2,0,0,0,0,6,2,1,0,4
"RP11-776A13.1",0,2,0,0,0,0,2,3,0,0,0,8,0,5,1,2,2,0,1,0,6,0,0,0,0,0,5,6,15,0,0,4,0,9,0,1,5,2,1,0,1,1,0,9,18,23,2,0,7,0,0,1,3,1,0,8,18,28,0,3,0,0,9,6,7,1,2,23
"RP11-798K3.2",2,17,2,3,0,4,0,3,21,1,9,6,2,4,0,2,3,21,0,22,16,0,44,1,34,0,33,21,7,10,29,15,1,9,2,0,10,0,20,1,14,2,0,0,34,25,25,23,22,11,5,37,6,0,11,27,16,26,0,0,0,195,8,10,4,6,0,9
"SELE",130,8,82,14,4603,24,750,11293,88,573,7,8,2048,9,326,30,13,15,233,30,29,0,11,263,4,207,6,15,144,24,11,30,60,20,13,342,11,50,20,1475,36,68,2528,20,58,17,20,18,4,7,15,6,24,3933,14,19,6,14,269,422,434,24,24,44,85,106,221,29
"SERPINB7",61,3,3,4,10815,2,343,701,13,161,1,4,15,2,32349,26,4,0,7,2,8,0,1,87,1,649,32,0,4,2,6,2,88,3,0,674,1,187,1,1112,2,266,2083,10,27,0,2,5,0,1,1,1,8,3025,3,8,5,1,549,8269,50,0,13,0,3,27,7090,13
"TNC",730,348,13991,212,27804,9883,4124,119689,1730,7773,214,776,13135,195,1675,493,1191,847,1170,1508,1156,0,647,2213,44,1563,179,1670,192,816,267,210,267,245,473,2078,520,1507,999,2432,949,666,9891,499,887,920,467,1084,295,614,752,253,1365,37995,534,484,542,713,4786,16577,3368,3074,352,1085,1661,902,6006,521
"ABCA12",90,13,4,94,2668,41,1814,336,107,3055,10,21,1,8,3330,20,15,6,98,5,45,1,5,907,1,1021,32,16,58,6,4,17,1281,22,25,651,5,220,5,2295,8,17,577,18,19,10,12,16,2,33,32,7,39,1054,4,15,15,12,1760,4736,280,4,26,23,19,250,381,15
"AC002331.1",4,0,0,0,3,5,2,35,0,12,1,3,55,0,14,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,4,0,0,1,24,1,1,19,0,0,0,0,4,0,0,0,0,0,4,0,0,2,1,5,14,21,0,0,0,0,3,6,0
"AC004988.1",1,0,0,0,3,0,3,8,0,6,1,1,102,0,13,7,2,0,0,0,9,0,1,0,0,0,0,1,2,0,0,2,3,2,1,11,1,1,0,24,0,8,4,2,0,0,0,1,0,0,0,0,2,1,0,1,0,0,7,0,1,0,0,0,0,2,5,0
"AC008984.2",0,1,0,0,14,1,14,53,1,9,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,3,3,2,8,1,0,0,6,2,2,18,0,2,0,1,0,0,1,0,0,0,12,0,0,0,0,3,4,5,1,0,0,0,4,6,2
"AC064872.1",1,1,0,1,0,0,0,0,0,8,0,1,0,1,1,1,2,1,0,1,1,0,4,1,1,0,3,36,1,1,0,0,2,0,2,0,0,15,1,1,0,0,0,0,0,0,2,0,0,0,0,15,2,0,1,11,13,0,1,0,5,1,0,3,2,0,0,1
"AC073316.1",3,0,2,1,19,2,18,159,3,27,3,10,33,2,3,3,3,2,2,9,2,0,0,4,1,5,1,6,2,3,0,3,0,2,3,2,2,4,3,2,1,5,12,0,6,8,1,1,2,2,1,2,1,22,2,5,1,0,8,16,7,1,1,6,6,6,22,4
"AC104135.3",24,1,4,1,5,1,50,8,34,20,1,0,0,104,12,11,2,1,17,0,4,0,2,24,0,25,13,0,7,3,16,18,67,19,1,25,4,26,2,7,5,0,39,1,1,1,0,0,0,0,0,5,5,5,0,0,2,0,6,3,33,1,5,7,4,20,27,2
"AC104135.4",43,3,2,5,19,12,99,41,122,77,2,6,3,258,42,58,0,2,26,0,27,0,9,44,11,81,32,2,10,0,27,26,205,53,4,65,3,51,4,32,0,15,76,5,2,1,2,0,0,1,2,21,8,4,3,2,0,7,27,20,34,2,9,4,8,40,73,5
"AC112721.2",4,0,0,0,2,8,4,14,2,10,0,1,12,0,3,1,1,0,5,1,1,0,2,1,0,3,0,0,4,0,0,2,0,0,0,2,0,2,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,6,3,2,0,0,2,2,2,0
"ADAMTS2",344,49,594,39,792,699,1040,4035,234,1416,119,296,9956,31,262,209,245,249,280,249,276,0,117,508,34,169,30,395,143,347,79,71,94,70,177,520,227,477,147,1176,258,327,2173,192,219,187,97,300,94,192,176,64,270,1442,152,149,94,88,998,1107,869,133,68,319,200,390,809,180
"ADAMTS4",139,10,115,20,623,78,835,1465,78,641,20,61,3602,15,219,47,93,29,67,16,93,1,9,398,17,140,10,29,46,33,19,15,78,14,24,568,14,82,28,1144,15,89,3507,42,47,23,7,49,18,14,32,25,19,1385,20,23,17,6,186,747,256,29,16,67,97,102,300,33
"AF165138.7",0,1,0,0,9,0,4,45,6,9,0,2,12,0,2,1,2,0,1,0,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,1,0,3,1,1,0,3,10,0,3,2,0,3,0,0,3,0,0,8,0,2,0,0,0,10,5,0,0,1,1,1,10,1
"ALDH3B2",10,3,9,4,37,9,47,10,14,7,1,4,4,14,89,22,1,8,16,3,3,0,4,15,6,20,12,5,8,2,8,3,24,7,5,36,0,30,2,22,1,7,29,4,2,3,0,6,1,4,4,0,4,3,2,0,2,6,68,11,28,2,1,5,1,25,47,4
"ALG1L13P",17,0,0,2,61,26,24,106,3,49,6,6,35,4,16,3,5,3,8,1,8,0,1,17,2,10,0,7,16,4,0,9,15,6,4,23,1,2,3,51,5,5,51,6,4,5,0,2,2,1,5,1,1,36,4,0,1,1,15,29,20,12,3,2,3,20,9,10
"ALPL",145,44,133,64,1182,243,845,3312,64,1210,94,93,2643,25,969,81,193,97,167,68,110,14,26,555,61,297,27,180,395,88,170,111,168,269,57,653,48,109,46,1330,92,141,3262,79,178,176,51,145,44,80,42,78,85,1313,58,62,48,20,400,509,507,72,27,91,154,223,639,96
"ANGPTL4",178,21,70,42,615,388,118,322,77,1300,37,64,456,80,7538,57,140,112,256,110,83,0,25,300,27,864,35,91,28,155,29,38,299,37,116,4549,43,307,36,1232,39,58,676,48,74,21,40,115,109,54,105,51,92,491,90,59,66,29,566,322,193,731,21,83,62,286,860,58
"AP000695.6",1,1,8,1,9,3,7,38,1,11,2,5,12,0,8,1,1,1,0,0,2,0,0,10,0,2,0,1,0,2,1,1,0,2,0,1,0,0,0,8,0,1,3,0,1,0,0,1,0,2,2,2,0,2,1,0,1,0,0,9,0,0,0,1,1,3,2,0
"APOBEC3A",60,13,9,31,1657,2,494,1588,27,175,12,19,387,94,184,5,7,28,15,24,12,10,33,44,41,52,16,14,41,126,43,21,166,24,16,179,8,34,23,209,16,10,487,5,9,25,4,15,9,10,3,7,29,336,5,10,10,10,51,113,60,9,34,10,56,92,98,148
"AQP5",0,1,3,0,50,14,0,22,0,13,1,1,3,0,22,0,0,1,2,4,2,0,3,4,0,6,0,0,0,0,2,1,0,0,0,9,0,0,0,0,0,1,25,3,0,0,0,0,1,0,1,0,1,47,0,0,2,1,30,157,2,0,4,0,1,5,1,0
"AQP9",60,5,16,9,6195,55,1623,11667,33,1661,4,2,9814,6,1575,18,2,0,132,2,47,133,4,799,1,485,25,2,33,2,37,13,551,21,1,1201,2,120,10,2664,4,59,4790,9,6,4,1,2,1,2,1,1,100,2603,5,3,7,7,529,1222,875,17,24,7,23,257,463,277
"BCL2A1",345,28,104,26,3948,177,1119,6190,244,1617,78,77,4000,29,1101,230,168,186,180,90,516,571,83,650,33,876,150,263,692,90,52,745,526,111,98,759,79,392,131,1591,79,522,2257,167,415,181,93,275,41,30,60,108,227,1165,147,85,87,91,588,1139,929,534,55,212,378,673,908,259
"BEAN1",7,1,5,1,27,11,7,22,8,99,5,6,9,1,369,3,5,1,32,5,5,0,1,29,2,94,2,5,5,2,6,4,34,0,1,302,4,16,3,372,1,8,96,12,15,5,0,11,1,1,2,1,8,54,1,0,4,0,59,54,9,3,1,1,11,17,48,1
"C15orf54",2,0,0,0,9,4,1,39,0,4,4,0,23,0,4,1,0,0,0,0,2,0,0,3,0,6,0,1,1,0,0,0,1,0,0,4,0,0,0,0,0,0,7,4,1,0,0,1,0,0,1,0,1,11,1,0,0,0,4,3,2,0,0,1,2,0,5,0
"C19orf59",2,0,2,0,140,5,84,400,7,74,0,1,475,0,73,1,2,0,5,1,0,2,0,35,0,23,0,0,3,3,2,0,13,2,0,57,0,3,0,181,0,1,499,2,1,1,3,0,0,0,0,0,1,162,0,2,1,0,9,42,23,2,2,0,1,1,23,6
"C2CD4A",261,36,204,154,474,55,835,372,223,536,25,17,39,88,1373,75,55,23,258,24,43,0,12,464,19,923,89,25,56,27,100,28,375,30,46,821,31,208,22,842,33,95,1110,16,21,23,22,11,19,18,27,20,43,646,36,12,19,18,534,192,868,87,39,42,61,125,378,56
"C4BPA",193,12,34,176,1830,96,947,307,176,1856,10,27,57,30,4768,72,19,133,1753,78,78,0,192,1071,21,4626,34,72,104,83,398,15,2883,47,14,3310,10,451,136,2567,48,59,1959,35,10,49,133,98,14,11,22,24,16,302,31,19,21,10,1636,1159,694,26,36,30,17,461,2486,33
"C4BPB",304,97,137,462,2526,280,1602,1131,431,2509,29,139,31,123,5333,160,65,43,1243,42,84,1,58,947,63,2730,89,29,84,54,118,75,2810,46,30,2999,46,490,38,3318,51,117,1318,44,53,41,33,62,27,34,33,52,73,1015,44,46,43,55,1991,2691,1763,107,93,180,108,864,2368,64
"C4orf50",7,0,3,1,8,11,1,40,0,13,0,0,34,0,2,1,0,0,1,2,4,0,1,0,0,1,0,10,4,1,2,1,0,0,0,2,0,0,0,5,1,2,16,1,0,0,0,0,0,1,2,1,5,21,3,1,0,0,12,8,5,1,1,1,1,3,11,0
"C6orf223",173,84,283,42,502,307,67,235,111,460,4,74,59,62,2807,44,24,10,218,7,55,2,17,267,4,144,143,18,54,15,87,43,71,15,29,787,23,94,27,899,62,46,588,9,6,11,10,24,7,7,9,5,43,352,17,8,10,10,553,765,152,67,28,38,63,108,241,141
"CARD17",7,0,0,0,7,3,18,13,4,58,1,0,41,0,13,5,1,0,1,0,7,0,0,7,0,27,1,1,5,4,2,0,6,1,0,5,2,1,3,13,1,11,16,0,3,1,1,1,0,1,1,1,3,15,2,5,2,0,14,10,9,5,0,1,5,15,21,3
"CASP5",5864,1511,714,1640,4823,1281,8930,1712,6381,9500,628,670,1154,10004,17894,3752,1067,807,8455,626,1952,3,1195,8145,1239,16308,5613,898,1541,1100,3838,1685,20051,1572,710,12559,1168,4376,1176,7900,490,1552,4098,768,508,899,918,1494,384,748,1132,717,1891,1826,697,679,768,929,5981,5640,12587,732,1179,1037,907,5668,6562,693
"CCL1",2,0,0,2,3,3,0,11,0,3,0,0,64,0,2,5,1,0,1,0,2,0,0,3,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,4,2,0,22,0,0,0,0,1,0,0,0,0,1,5,2,0,0,1,7,3,0,0,2,0,2,5,12,0
"CCL11",1783,9,1418,82,1641,3726,234,2671,71,2021,63,112,851,10,69,138,7,85,1184,313,115,0,29,761,16,108,20,109,78,125,197,5,14,11,225,432,9,183,91,250,60,196,1904,131,69,26,69,33,15,21,64,27,32,1483,41,181,59,34,517,2791,893,111,37,81,98,894,351,195
"CCL3",174,33,102,10,2493,162,370,9279,69,468,57,108,895,167,363,513,426,61,100,16,172,376,204,319,37,234,53,85,167,125,77,22,314,21,30,556,84,169,33,1208,50,183,1453,37,89,134,73,133,52,19,29,66,250,564,39,49,34,13,325,480,323,51,21,164,146,157,316,88
"CCL3L1",7,1,2,1,240,1,7,369,1,11,3,2,18,17,0,0,8,5,13,1,12,36,7,0,3,16,1,4,6,2,3,4,9,1,3,5,5,5,3,22,1,2,38,5,4,2,7,6,0,0,3,6,17,12,0,0,2,0,11,36,0,5,0,7,6,8,3,4
"CCL4",277,58,92,26,3156,212,517,8650,143,987,111,169,1066,98,594,412,403,70,184,68,228,200,120,381,61,334,81,115,296,59,153,43,357,62,71,659,76,195,83,1221,64,218,1429,99,91,124,53,153,62,41,38,75,200,757,86,67,52,24,365,724,455,127,29,184,210,241,535,76
"CD274",800,162,126,93,2503,212,2250,4675,475,3137,137,128,5811,198,3759,335,173,173,551,130,506,7,153,720,101,1671,199,197,297,186,259,247,2985,383,116,2501,117,609,138,3772,124,413,2846,163,297,189,120,336,56,97,140,136,255,1404,158,174,173,172,1159,725,1266,309,120,211,245,867,1108,208
"CDH3",572,42,405,1957,2332,4521,865,1937,390,736,44,158,20,121,7162,98,80,67,256,40,191,0,17,509,32,1353,142,141,468,12,30,134,403,53,123,3506,67,223,56,1971,70,309,1996,164,307,131,63,230,50,74,95,75,104,1615,128,61,68,139,1057,4843,708,69,42,163,224,224,2174,107
"CEACAM4",27,0,12,0,123,40,47,146,0,144,1,5,343,0,29,14,2,3,16,3,14,0,1,17,1,21,4,1,15,3,4,0,27,5,2,25,2,31,2,73,0,27,68,0,10,4,3,9,0,0,2,4,7,102,0,0,2,2,42,72,62,16,3,4,18,38,39,6
"CFB",7873,1221,2160,2321,20147,4448,14339,24400,5165,12971,1306,1431,20126,3683,29375,5719,1080,1105,8175,797,5051,4,1114,9406,1369,9007,2885,1771,1944,1010,4751,1256,21227,1893,1237,14288,1299,13880,1486,23317,1046,4644,14985,1422,2460,1127,957,3550,1556,916,1392,937,1994,10494,1561,1223,1108,1882,18028,12689,10855,8698,1484,1575,1195,8517,13253,3212
"CHAC1",154,53,28,76,327,64,172,220,46,878,20,51,224,46,956,57,46,26,107,53,61,0,66,263,10,225,50,43,48,38,73,60,376,34,54,498,70,185,20,1558,14,65,347,53,66,51,20,66,46,45,31,26,47,271,46,41,42,39,486,243,178,10,55,41,46,145,298,34
"CHI3L1",2159,9,333,126,11955,1163,7857,52640,176,19426,22,117,44150,44,862,386,208,23,525,14,1090,1,24,1500,6,997,45,49,409,14,21,49,410,33,52,5391,102,3050,16,1849,14,2046,17395,93,57,47,9,229,11,16,15,22,122,20698,21,24,14,11,3170,839,1165,91,40,33,94,2193,3284,87
"CHI3L2",128,49,60,17,1605,107,5390,8181,133,825,59,43,10425,12,131,108,26,101,187,182,261,0,28,331,9,749,79,286,1922,28,45,355,143,100,113,581,35,295,97,544,43,386,2325,109,1069,77,52,345,31,23,40,52,128,1967,73,124,66,80,1190,591,773,1024,16,136,121,1510,1321,159
"CHRDL2",100,7,79,6,722,367,308,1644,47,621,2,21,1026,14,15,52,42,5,78,7,110,0,1,125,0,53,6,20,68,4,1,11,15,16,8,103,16,88,5,17,5,60,743,6,50,15,3,46,15,6,24,10,18,1313,34,12,15,8,449,745,190,27,13,16,28,179,498,11
"CLCA3P",39,15,5,41,131,12,162,64,31,103,4,2,1,48,175,9,10,5,35,5,6,0,19,75,12,92,4,3,8,7,20,23,173,23,3,132,4,16,15,97,4,5,121,12,3,1,16,6,1,1,2,2,13,37,5,6,10,5,55,70,69,0,14,2,25,52,80,10
"CLDN14",25,2,1,11,35,15,40,40,7,152,1,1,30,5,407,2,1,0,5,0,1,0,2,70,0,82,0,1,1,0,4,1,129,1,0,196,0,9,2,87,0,10,52,0,2,3,1,1,2,0,0,0,1,22,1,2,0,0,99,31,16,2,0,0,0,31,54,0
"CLDN18",79,3,7,4,56,42,24,154,8,185,0,4,0,0,48,6,1,9,47,3,9,0,2,17,3,126,7,2,26,1,8,22,50,7,4,20,2,30,3,78,1,9,22,0,5,1,4,10,2,2,0,1,5,77,0,4,3,19,49,63,40,22,6,0,5,69,48,10
"CLEC12A",170,6,45,6,399,147,81,862,41,242,26,36,1292,13,137,75,39,39,100,31,142,5,32,179,18,29,14,39,40,72,24,31,91,48,31,94,41,198,77,405,87,256,710,54,46,47,26,85,11,10,35,33,69,131,98,56,36,24,252,110,86,96,14,69,54,210,188,65
"CLEC4D",3,0,5,0,383,2,44,330,1,38,1,0,506,0,65,3,0,1,8,2,6,5,0,12,0,33,2,2,6,1,0,0,22,3,0,82,2,15,0,110,0,4,370,0,0,2,0,9,0,0,1,1,7,114,0,5,0,0,18,21,72,4,0,4,5,15,35,4
"CLEC4E",90,8,24,7,1175,64,331,1446,20,231,2,3,5631,11,307,141,19,14,103,10,205,42,61,93,10,275,20,41,87,10,11,11,177,5,2,540,31,297,21,276,5,293,973,9,17,7,12,69,6,11,4,6,64,756,0,7,10,16,172,159,135,26,5,33,29,178,312,21
"CLEC5A",54,6,23,4,252,8,57,1083,19,105,0,24,250,2,77,18,27,11,54,3,29,7,15,115,0,114,6,18,5,19,4,3,141,7,20,169,6,51,7,105,23,34,672,7,4,12,15,31,7,8,1,7,10,61,8,0,2,1,50,86,72,2,8,11,24,33,176,2
"CLEC6A",9,1,3,1,149,7,33,191,3,19,0,1,883,0,27,27,2,0,20,0,38,0,4,9,0,70,0,4,17,0,2,0,33,1,4,67,1,55,0,28,0,52,167,3,1,0,0,9,0,0,4,2,1,139,1,2,4,0,30,35,21,6,1,12,10,16,36,2
"CLLU1OS",2,14,1,0,4,10,19,12,6,23,0,4,169,2,32,3,0,1,16,0,15,0,6,15,0,41,6,0,12,2,6,12,27,1,0,53,5,15,1,18,2,8,40,8,18,1,1,5,0,2,9,1,2,9,1,2,1,0,24,26,24,1,0,0,12,11,15,5
"CMTM2",4,2,1,1,250,14,69,760,6,137,1,4,103,6,116,2,3,0,17,2,4,91,0,60,1,43,1,1,7,0,0,2,60,0,0,102,0,11,1,279,1,6,308,1,2,2,2,1,1,1,1,1,0,179,1,3,1,0,58,72,61,3,6,1,5,25,28,11
"COMP",0,0,1,5,3,9,2,32,1,2,0,2,33,2,1,1,1,0,0,0,1,0,2,2,0,0,0,0,2,1,0,0,1,1,1,0,0,3,1,5,0,1,1,2,1,0,0,1,0,2,0,0,1,3,2,2,2,0,0,5,0,0,1,0,1,1,0,0
"CPXM1",212,16,390,7,801,694,238,2807,71,1393,69,103,4780,26,383,214,70,86,165,46,161,0,59,407,51,171,25,61,71,62,23,79,104,33,62,215,93,286,94,1017,48,174,1163,96,200,20,30,165,19,17,35,23,44,433,64,28,75,47,402,692,484,125,20,90,69,337,403,56
"CRABP2",51,5,228,7,120,39,46,1112,52,45,2,19,433,2,58,23,9,19,9,13,30,0,19,15,6,220,22,49,71,3,16,43,84,21,23,66,23,16,27,35,15,38,83,26,35,19,11,32,10,8,8,6,28,106,14,14,10,25,48,116,22,8,6,24,17,77,112,18
"CSF2",17,0,3,5,147,2,35,604,15,47,1,0,102,1,28,1,2,0,10,1,5,0,0,24,1,13,3,6,3,2,1,1,24,2,3,27,0,11,0,91,5,10,112,1,6,2,0,6,0,4,1,0,6,107,4,0,1,3,20,14,22,2,1,1,2,24,24,1
"CSF3R",240,25,97,26,4200,163,2457,11297,120,3091,89,130,11297,38,1554,158,121,115,195,49,213,78,103,602,42,489,51,119,167,126,92,105,495,53,82,1315,113,389,121,3308,115,311,4931,87,186,98,86,266,63,51,91,97,106,2805,87,74,55,66,739,1452,1047,128,46,179,189,823,835,269
"CTA-384D8.35",72,2,0,6,66,28,49,66,16,103,7,9,119,2,81,19,0,11,16,3,29,0,6,25,0,61,19,9,22,3,12,19,63,12,7,44,1,34,2,25,2,32,34,5,12,8,3,10,1,1,0,1,6,36,6,0,2,13,23,40,33,10,4,13,6,39,36,5
"CTB-114C7.4",4,0,4,0,56,3,16,111,2,45,2,3,43,1,2,0,1,1,1,1,7,0,0,11,1,4,2,1,2,1,1,3,6,0,0,14,0,3,1,12,3,5,23,2,5,3,0,0,0,2,1,0,3,14,2,2,1,1,4,15,12,6,0,3,0,4,6,0
"CTB-43E15.3",25,2,3,0,112,26,6,138,0,33,7,3,161,0,4,4,1,3,45,2,5,0,1,16,1,10,5,2,15,6,0,10,0,1,1,26,1,10,0,62,4,5,167,0,1,9,5,3,2,3,3,2,1,159,1,3,4,2,78,26,96,5,2,11,2,31,89,0
